time, math
-2.5295,-0.059844
-2.5275,-0.019844
-2.5255,-0.62
-2.5235,-0.65984
-2.5215,-0.85984
-2.5195,-0.77984
-2.5175,-0.82
-2.5155,-0.94
-2.5135,-0.9
-2.5115,-0.78
-2.5095,-0.77984
-2.5075,-0.86
-2.5055,-0.85984
-2.5035,-0.97984
-2.5015,-0.94
-2.4995,-0.82
-2.4975,-0.9
-2.4955,-0.86
-2.4935,-0.25984
-2.4915,-0.059844
-2.4895,-0.019844
-2.4875,-0.019844
-2.4855,-0.099844
-2.4835,-0.019844
-2.4815,-0.13984
-2.4795,0.02
-2.4775,-0.019844
-2.4755,-0.099844
-2.4735,-0.41984
-2.4715,-0.57984
-2.4695,-0.82
-2.4675,-0.85984
-2.4655,-0.86
-2.4635,-0.77984
-2.4615,-0.82
-2.4595,-0.82
-2.4575,-0.78
-2.4555,-0.89984
-2.4535,-0.97984
