time, ch1, ch2, ch3, ch4
-4.9388,1.82,1.54,1.04,4.82
-4.9387,1.9,1.54,1,4.82
-4.9386,1.82,1.5,1.04,4.82
-4.9385,1.86,1.58,1.04,4.82
-4.9384,1.9,1.58,0.96,4.78
-4.9383,1.86,1.58,1.04,4.82
-4.9382,1.86,1.54,1,4.82
-4.9381,1.9,1.54,0.96,4.82
-4.938,1.9,1.54,1,4.86
-4.9379,1.86,1.54,1.04,4.82
-4.9378,1.82,1.58,1,4.78
-4.9377,1.9,1.54,1,4.78
-4.9376,1.94,1.5,0.96,4.82
-4.9375,1.94,1.54,1.04,4.78
-4.9374,1.94,1.58,1,4.82
-4.9373,1.9,1.62,1,4.78
-4.9372,1.86,1.58,1.04,4.9
-4.9371,1.86,1.54,1.04,4.82
-4.937,1.86,1.54,1.04,4.78
-4.9369,1.94,1.54,1,4.78
-4.9368,1.94,1.54,1,4.78
-4.9367,1.9,1.54,1,4.78
-4.9366,1.9,1.58,1,4.7
-4.9365,1.9,1.54,1,4.78
-4.9364,1.9,1.54,1,4.82
-4.9363,1.9,1.54,1.04,4.78
-4.9362,1.9,1.58,1,4.82
-4.9361,1.94,1.58,1,4.78
-4.936,1.86,1.54,1,4.82
-4.9359,1.86,1.5,1,4.82
-4.9358,1.9,1.62,1.04,4.82
-4.9357,1.9,1.54,1.04,4.82
-4.9356,1.9,1.58,1.04,4.74
-4.9355,1.9,1.54,1.08,4.78
-4.9354,1.9,1.58,1.04,4.82
-4.9353,1.9,1.54,1,4.7
-4.9352,1.86,1.54,1.04,4.74
-4.9351,1.82,1.62,0.96,4.82
-4.935,1.94,1.58,1,4.78
-4.9349,1.86,1.54,1.04,4.86
-4.9348,1.86,1.58,1,4.78
-4.9347,1.86,1.5,1,4.78
-4.9346,1.9,1.54,1.04,4.82
-4.9345,1.9,1.54,1,4.86
-4.9344,1.9,1.58,1,4.82
-4.9343,1.9,1.54,1.04,4.82
-4.9342,1.9,1.54,1.04,4.74
-4.9341,1.94,1.58,1,4.82
-4.934,1.9,1.54,1.04,4.82
-4.9339,1.94,1.54,1,4.74
-4.9338,1.94,1.58,1,4.78
-4.9337,1.9,1.54,1,4.82
-4.9336,1.9,1.54,1,4.82
-4.9335,1.9,1.58,1,4.78
