xdata, curve0
0.00706,-317.96
0.00707,-317.94
0.00708,-317.92
0.00709,-317.9
0.0071,-317.87
0.00711,-317.84
0.00712,-317.8
0.00713,-317.77
0.00714,-317.73
0.00715,-317.69
0.00716,-317.64
0.00717,-317.6
0.00718,-317.55
0.00719,-317.49
0.0072,-317.44
0.00721,-317.38
0.00722,-317.32
0.00723,-317.26
0.00724,-317.19
0.00725,-317.12
0.00726,-317.05
0.00727,-316.97
0.00728,-316.89
0.00729,-316.81
0.0073,-316.73
0.00731,-316.64
0.00732,-316.55
0.00733,-316.46
0.00734,-316.36
0.00735,-316.26
0.00736,-316.16
0.00737,-316.05
0.00738,-315.94
0.00739,-315.83
0.0074,-315.71
0.00741,-315.59
0.00742,-315.47
0.00743,-315.34
0.00744,-315.21
0.00745,-315.07
0.00746,-314.94
0.00747,-314.8
0.00748,-314.65
0.00749,-314.5
0.0075,-314.35
0.00751,-314.19
0.00752,-314.03
0.00753,-313.87
0.00754,-313.7
0.00755,-313.53
0.00756,-313.35
0.00757,-313.17
0.00758,-312.99
0.00759,-312.8
0.0076,-312.61
0.00761,-312.41
0.00762,-312.21
0.00763,-312
0.00764,-311.79
0.00765,-311.58
0.00766,-311.36
0.00767,-311.13
0.00768,-310.9
0.00769,-310.67
0.0077,-310.43
0.00771,-310.18
0.00772,-309.94
0.00773,-309.68
0.00774,-309.42
0.00775,-309.16
0.00776,-308.89
0.00777,-308.62
0.00778,-308.34
0.00779,-308.05
0.0078,-307.76
0.00781,-307.47
0.00782,-307.17
0.00783,-306.86
0.00784,-306.55
0.00785,-306.23
0.00786,-305.91
0.00787,-305.58
0.00788,-305.24
0.00789,-304.9
0.0079,-304.55
0.00791,-304.2
0.00792,-303.84
0.00793,-303.47
0.00794,-303.1
0.00795,-302.73
0.00796,-302.34
0.00797,-301.95
0.00798,-301.55
0.00799,-301.15
0.008,-300.74
0.00801,-300.33
0.00802,-299.9
0.00803,-299.47
0.00804,-299.04
0.00805,-298.6
0.00806,-298.15
0.00807,-297.69
0.00808,-297.23
0.00809,-296.76
0.0081,-296.28
0.00811,-295.8
0.00812,-295.3
0.00813,-294.81
0.00814,-294.3
0.00815,-293.79
0.00816,-293.27
0.00817,-292.74
0.00818,-292.21
0.00819,-291.67
0.0082,-291.12
0.00821,-290.56
0.00822,-290
0.00823,-289.43
0.00824,-288.85
0.00825,-288.26
0.00826,-287.67
0.00827,-287.07
0.00828,-286.46
0.00829,-285.84
0.0083,-285.22
0.00831,-284.59
0.00832,-283.95
0.00833,-283.3
0.00834,-282.65
0.00835,-281.99
0.00836,-281.32
0.00837,-280.64
0.00838,-279.95
0.00839,-279.26
0.0084,-278.56
0.00841,-277.85
0.00842,-277.13
0.00843,-276.41
0.00844,-275.67
0.00845,-274.93
0.00846,-274.18
0.00847,-273.43
0.00848,-272.66
0.00849,-271.89
0.0085,-271.11
0.00851,-270.33
0.00852,-269.53
0.00853,-268.73
0.00854,-267.92
0.00855,-267.1
0.00856,-266.27
0.00857,-265.44
0.00858,-264.59
0.00859,-263.74
0.0086,-262.89
0.00861,-262.02
0.00862,-261.15
0.00863,-260.27
0.00864,-259.38
0.00865,-258.48
0.00866,-257.58
0.00867,-256.67
0.00868,-255.75
0.00869,-254.82
0.0087,-253.89
0.00871,-252.95
0.00872,-252
0.00873,-251.04
0.00874,-250.08
0.00875,-249.11
0.00876,-248.13
0.00877,-247.15
0.00878,-246.16
0.00879,-245.16
0.0088,-244.15
0.00881,-243.14
0.00882,-242.12
0.00883,-241.09
0.00884,-240.06
0.00885,-239.02
0.00886,-237.97
0.00887,-236.92
0.00888,-235.86
0.00889,-234.79
0.0089,-233.72
0.00891,-232.64
0.00892,-231.55
0.00893,-230.46
0.00894,-229.36
0.00895,-228.25
0.00896,-227.14
0.00897,-226.03
0.00898,-224.9
0.00899,-223.77
0.009,-222.64
0.00901,-221.5
0.00902,-220.35
0.00903,-219.2
0.00904,-218.05
0.00905,-216.88
0.00906,-215.72
0.00907,-214.54
0.00908,-213.37
0.00909,-212.18
0.0091,-211
0.00911,-209.8
0.00912,-208.61
0.00913,-207.4
0.00914,-206.2
0.00915,-204.99
0.00916,-203.77
0.00917,-202.55
0.00918,-201.33
0.00919,-200.1
0.0092,-198.87
0.00921,-197.63
0.00922,-196.39
0.00923,-195.15
0.00924,-193.9
0.00925,-192.65
0.00926,-191.4
0.00927,-190.14
0.00928,-188.88
0.00929,-187.62
0.0093,-186.35
0.00931,-185.08
0.00932,-183.81
0.00933,-182.54
0.00934,-181.26
0.00935,-179.98
0.00936,-178.7
0.00937,-177.42
0.00938,-176.13
0.00939,-174.84
0.0094,-173.55
0.00941,-172.26
0.00942,-170.97
0.00943,-169.67
0.00944,-168.38
0.00945,-167.08
0.00946,-165.78
0.00947,-164.48
0.00948,-163.18
0.00949,-161.87
0.0095,-160.57
0.00951,-159.27
0.00952,-157.96
0.00953,-156.66
0.00954,-155.35
0.00955,-154.05
0.00956,-152.74
0.00957,-151.44
0.00958,-150.13
0.00959,-148.83
0.0096,-147.52
0.00961,-146.22
0.00962,-144.91
0.00963,-143.61
0.00964,-142.31
0.00965,-141
0.00966,-139.7
0.00967,-138.4
0.00968,-137.1
0.00969,-135.8
0.0097,-134.51
0.00971,-133.21
0.00972,-131.92
0.00973,-130.63
0.00974,-129.34
0.00975,-128.05
0.00976,-126.76
0.00977,-125.48
0.00978,-124.2
0.00979,-122.92
0.0098,-121.64
0.00981,-120.36
0.00982,-119.09
0.00983,-117.82
0.00984,-116.55
0.00985,-115.29
0.00986,-114.03
0.00987,-112.77
0.00988,-111.51
